"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","Human-IgG1","Mouse-IgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderTRUE"
"132",0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,29.93,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,27.64,42.31,11.01,13.3,31.26,26.92,31.37,136.48,23.27,39.59,31.23,29.18,98.39,18.5,10.05,10.05,0.11,36.89,2.59,0.11,0.23,8.74,17.13,0.47,4.55,10.73,8.86,0.66,6.44,0.5,1.98,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"133",1,0,0,1,0,0,0,0,0,0,0.9975,0.999,0.98,0.99,11.72,1000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,33.42,59.48,9.2,11.26,26.16,25.7,44.15,120.38,30.76,52.19,34.63,13.18,95.24,4.15,6.74,6.74,1.17,50.06,0.97,0.05,2.33,7.45,23.28,0.04,1.48,6.12,0.37,0.43,4.94,0.78,0.55,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"134",0,0,0,0,1,0,0,0,0,0,0,0,0.16,0,146.2,1000,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,23.86,60.97,10.16,9.02,24.49,24.82,29.91,126.73,32.23,45.84,34.41,19.76,98.25,3.23,5.46,5.46,0.85,44.14,0.85,0.23,0.21,7.54,24.9,0.34,1.18,14.11,0.52,0.32,4.13,0.14,0.54,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"136",1,1,0,0,0,0,0,0,0,0,0.9927,0.989,0.92,0.69,5.07,1000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,32.17,43.88,8.19,3.5,18.97,5.58,39.8,120.23,22.02,38.66,38.56,22.77,98.25,9.09,13.18,13.18,0,37.87,0.79,0.32,0.65,12.56,24.44,0.35,0.25,9.93,0.01,0.44,4.35,0.33,7.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"137",0.6,0,1,0,0,0,0,0,0,0,0,0,0.55,0,12.74,0.27,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,33.55,46.84,32.67,30.87,52.16,55.81,39.06,337.38,54.78,52.14,38.28,9.58,96.76,3.58,5.08,5.08,0,49.84,2.3,1.68,0.22,11.37,23.7,1.3,0.01,5.71,0.09,0.84,1.76,0.49,0.69,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"138",0.9,0,0,0,0,0,1,0,0,0,0.9794,0.999,0.99,0.97,1.62,0.23,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,30.64,56.66,48.81,54.2,76.9,82.47,38.21,194.64,66.44,43.74,42.97,13.28,96.34,2.76,3.72,3.72,0,43.51,0.23,2.37,0.23,13.96,26.16,0.14,0.1,9.44,0.27,0.23,1.19,0.83,1.33,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"139",1,0,1,0,0,0,0,0,0,0,0.9482,0.994,0.98,0.99,5.03,0.62,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,36.35,59.86,35.5,30.98,51.74,102.82,45.09,259.77,58.52,43.13,43.41,13.47,94.75,4.89,6.32,6.32,0,41.33,1.8,2.19,0.8,11.78,27.49,1.04,0.12,7.83,0.35,0.74,1.92,1.53,1.1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"140",0.7,1,0,0,0,0,0,0,0,0,0.9967,0.999,0.95,0.89,4.92,1000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23.67,43.3,0.47,0,6.97,5.1,31.68,129.49,20.43,43.45,42.72,13.83,96.79,2.73,4.45,4.45,0,42.57,0.87,1.53,0.22,12.18,28.27,0.47,0.04,9.82,0.05,0.53,1.68,0.93,0.83,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"141",0.6,0,1,0,0,0,0,0,0,0,0,0,0.57,0,16.13,0.58,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,30.26,60.74,36.86,33.33,54.5,80.76,41.03,303.28,52.31,48.71,39.73,11.57,95.94,3.38,4.46,4.46,0,47.04,1.67,1.92,0.3,12.76,24.07,0.51,0.17,7.43,0.18,0.71,1.88,1.14,0.23,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"142",1,0,0,1,0,0,0,0,0,0,0.9976,0.999,0.99,0.98,3.64,1000,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,27.92,43.15,40.14,39.19,59.71,9.87,34.39,135.89,26.13,44.7,43.67,11.63,97.32,2.44,2.89,2.89,0,43.7,1,2.04,0.02,12.18,29.11,0.19,0.13,8.83,0.11,0.4,1.09,0.21,0.99,0,0,0,0,0,0,0,0,1,0,0,0,1,0
