"","Protection","Base","Cap","Fusion","GP1/Core","GP1/Head","HR2","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","HumanIgG1","MouseIgG1","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","sGP.binderTRUE"
"CD107a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.642631752507316,NA,NA,1,0.952234739834179,0.938663967611336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.501821862348178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFNg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66019882291862,NA,NA,0.952234739834179,1,0.969921422662013,0.476828903134301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.50437540340064,NA,NA,NA,NA,NA,NA,NA,0.485468949343301,NA,NA,NA,NA,NA,NA
"MIP.1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679335691641273,NA,NA,0.938663967611336,0.969921422662013,1,0.456882591093117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.518218623481781,NA,NA,NA,NA,0.492105263157895,NA,NA,0.516396761133603,NA,NA,-0.493369776796299,NA,NA,NA
"huADNP",NA,NA,NA,NA,NA,NA,NA,-0.48582995951417,NA,NA,NA,NA,-0.715886623815955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669116981314206,NA,NA,NA,0.476828903134301,0.456882591093117,1,NA,0.723481781376518,0.62165991902834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.467456222660096,NA,NA,0.639809913291595
"mADNP",NA,NA,0.5283659552874,NA,NA,NA,NA,-0.504048582995951,NA,NA,NA,NA,-0.546885380212742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.525950764180903,0.618825910931174,NA,NA,NA,NA,NA,1,0.532793522267206,0.574291497975709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630669771673144
"sGP_huADCP",NA,NA,0.468998994019153,NA,NA,NA,NA,-0.665182186234818,NA,NA,NA,NA,-0.706632318429599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558379528586188,0.478137651821862,NA,NA,NA,NA,0.723481781376518,0.532793522267206,1,0.706072874493927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.767771895949915
"sGP_huADNP",NA,NA,NA,NA,0.552112739794699,NA,NA,-0.586234817813765,NA,NA,NA,NA,-0.799836394106468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573499048968074,NA,0.464574898785425,NA,NA,NA,0.62165991902834,0.574291497975709,0.706072874493927,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8363229580883
"Total_G0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48621343952212,-0.48621343952212,NA,NA,0.48621343952212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.931983805668016,-0.571457489878543,NA,NA,NA,NA,0.697165991902834,NA,NA,NA,-0.687316533534441,-0.847570850202429,NA,NA,-0.807894736842105,NA,NA,NA,NA,NA,NA
"Total_G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.574615883071596,0.574615883071596,NA,NA,-0.574615883071596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.931983805668016,1,NA,NA,NA,NA,NA,-0.630971659919028,NA,NA,NA,0.70644802467406,0.909514170040486,NA,NA,0.709311740890688,NA,NA,NA,NA,NA,NA
"Total_G2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.571457489878543,NA,1,NA,NA,0.494154563110711,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627732793522267,NA,NA,NA,NA,NA,NA
