"","Protection","Base","Cap","Fusion","GP1/Core","GP1/Head","HR2","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","HumanIgG1","MouseIgG1","P2","R1","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderFALSE","sGP.binderTRUE","Epitope_TierTier1","Epitope_TierTier2","Epitope_TierTier3"
"Neut_dVP30",NA,NA,NA,NA,NA,NA,NA,NA,0.544296894664095,0.482924048178988,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462490092386873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP_EC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55041740777697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470128076340124,NA,0.481737925195254,NA,NA,NA,NA,NA,NA
"sGP_EC50",NA,0.515887178046852,NA,NA,NA,-0.467141465734904,NA,0.730313059129148,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.475173861867201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.61485778941173,NA,-0.600557190794891,NA,NA,NA,-0.720106923085628,-0.518080045808095,-0.691647159094725,-0.773094509989745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.930743968253399,-0.930743968253399,-0.642715328174861,NA,NA
"human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-0.619240378703248,NA,1,-0.619240378703248,NA,-0.499083408945087,NA,NA,NA,NA,NA,NA,-0.499083408945087,NA,NA,NA,NA,NA,NA,NA,-0.539126552347746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52591884949534,-0.597137027031167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.564488413913226,0.526125123647278,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619240378703248,NA,NA,NA,NA,0.526614154242476,0.46494781490855,NA,-0.567178258108144,NA,NA,NA,NA,NA,NA
"mouse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,0.619240378703248,NA,-1,0.619240378703248,NA,0.499083408945087,NA,NA,NA,NA,NA,NA,0.499083408945087,NA,NA,NA,NA,NA,NA,NA,0.539126552347746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52591884949534,0.597137027031167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564488413913226,-0.526125123647278,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.619240378703248,NA,NA,NA,NA,-0.526614154242476,-0.46494781490855,NA,0.567178258108144,NA,NA,NA,NA,NA,NA
"IgG2a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619240378703248,0.619240378703248,1,NA,-0.619240378703248,NA,NA,0.805960699769319,NA,NA,NA,NA,0.562731433871138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IgG2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698212002188447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanIgG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-0.619240378703248,NA,1,-0.619240378703248,NA,-0.499083408945087,NA,NA,NA,NA,NA,NA,-0.499083408945087,NA,NA,NA,NA,NA,NA,NA,-0.539126552347746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52591884949534,-0.597137027031167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.564488413913226,0.526125123647278,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619240378703248,NA,NA,NA,NA,0.526614154242476,0.46494781490855,NA,-0.567178258108144,NA,NA,NA,NA,NA,NA
"MouseIgG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.619240378703248,0.619240378703248,NA,NA,-0.619240378703248,1,NA,NA,NA,NA,NA,NA,NA,NA,0.805960699769319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640350877192983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.475173861867201,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.510567893046192,NA,NA,0.478543967681475,0.482914755172669,0.483745532547578,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.488968394410334,-0.488968394410334,-0.649909599599659,NA,NA,0.681642544964515,NA,0.468181622096923,NA,NA,NA,NA,NA,NA,-0.525426709277851,NA,0.608821785780768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
