"","Protection","Base","Cap","Fusion","GP1/2","GP1/Core","GP1/Head","HR2","Mucin","Unknown","Neut_VSV","unNeutFrac","Neut_micro","Neut_dVP30","GP_EC50","sGP_EC50","human","mouse","IgG2a","IgG2b","IgG3","HumanIgG1","MouseIgG1","P1","P2","R1","R10","R11","R12","R2","R3","R4","R5","R6","R7","R8","R9","All","BDBV & RESTV","BDBV & SUDV","BDBV only","BDBV, SUDV, RESTV ","Marburg only","None","RESTV only","SUDV & RESTV","SUDV only","Polyfunctionality","huADCP","mADCP","CD107a","IFNg","MIP.1b","huADNP","mADNP","sGP_huADCP","sGP_huADNP","Total_G0","Total_G1","Total_G2","Total_Fucose","Total_Bisecting","Total_mono_SA","Total_SA","G0","G0F","G0FB","G1","G1.","G1F","G1F.","G1S1F","G1FB","G2F","G2FB","G2S1","G2S1F","G2S1B","G2S1FB","Escape Region: 10","Escape Region: 28","Escape Region: 48","Escape Region: Base","Escape Region: Cap","Escape Region: Fusion Loop","Escape Region: GP1 Core","Escape Region: Mucin","No Escape Mutants","Binding","No binding","Not done","Weak binding only","sGP.binderFALSE","sGP.binderTRUE","Epitope_TierTier1","Epitope_TierTier2","Epitope_TierTier3","Epitope_TierTierUnknown"
"IgG3",NA,NA,NA,NA,NA,NA,NA,0.233064657860567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493939393939394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanIgG1",0.313738072113647,NA,NA,NA,NA,0.21226912473472,NA,NA,-0.300118770275541,NA,NA,NA,NA,NA,NA,-0.332453947409803,0.987583623162256,-0.987583623162256,-0.651766124860367,-0.274036889903654,NA,1,-0.450628784197508,0.206579668011324,0.301921285412331,-0.375373777236524,NA,NA,0.257135024943378,-0.32547373070519,NA,-0.341055709701018,NA,NA,NA,NA,0.214407115325921,NA,NA,NA,0.210465103564611,NA,NA,-0.385839384241646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303473782587272,0.498481971872468,-0.543970952408462,-0.253676369143514,-0.324258419388063,0.42816192885332,-0.325776246589918,-0.325776246589918,NA,0.379120483299006,0.224921702871096,NA,-0.237350312785945,NA,-0.415233229869934,-0.482542467610256,0.52025281972627,NA,NA,0.427573813920099,-0.390401569339177,0.299967989755015,0.413523737664732,NA,NA,NA,-0.214629835912849,NA,NA,NA,NA,NA,0.422942923583385,NA,-0.449995039149749,NA,-0.237221782927668,0.237221782927668,NA,NA,NA,NA
"MouseIgG1",NA,NA,NA,0.262691784909094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250209897857878,NA,-0.456294306252861,0.456294306252861,NA,NA,NA,-0.450628784197508,1,NA,NA,NA,NA,NA,NA,NA,NA,0.206639191202281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.328218118314795,-0.347950680712832,-0.386011033917391,NA,NA,NA,NA,-0.219211843275019,NA,NA,NA,NA,NA,NA,NA,0.315620365927526,0.315620365927526,-0.220456352162036,NA,NA,NA,NA,0.377024087799755,-0.221698539577441,0.472305961282328,-0.29023554434583,NA,NA,-0.24984630701345,0.213666662200544,NA,NA,NA,NA,NA,0.368071474576943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1",NA,NA,NA,NA,0.378987813371145,NA,NA,NA,NA,NA,NA,NA,-0.207569995555372,NA,NA,NA,NA,NA,NA,NA,NA,0.206579668011324,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22364057170583,-0.207840095282877,NA,NA,NA,NA,NA,-0.285318369311696,NA,NA,NA,NA,NA,NA,0.295006338726082,NA,NA,NA,NA,0.262555737801552,NA,NA,NA,NA,NA,0.348209405258808,NA,0.253211617661981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218607122444218,NA,NA,NA,NA,NA,NA,NA,0.27480836486889,NA
"P2",0.353333244370301,NA,0.246760606010687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.333691038584461,0.298172516957315,-0.298172516957315,NA,NA,NA,0.301921285412331,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298481002897855,NA,NA,0.410321287211561,NA,NA,0.386014266402253,0.381479690307966,0.373772953444641,0.320976968175888,NA,NA,NA,NA,NA,-0.270284933745297,NA,0.208119363002857,-0.379318294323808,-0.379318294323808,-0.536763292220609,NA,0.28215565698805,0.530324549949351,-0.351610045357575,0.302996527181538,NA,NA,-0.251588490978752,NA,NA,NA,-0.426376893504934,0.274340257678117,0.37918465785605,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537459065997968,NA,-0.598232633135406,NA,NA,NA,NA,NA,NA,NA
"R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.380847623931843,0.380847623931843,0.380533968568737,NA,NA,-0.375373777236524,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.235854947414106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211380351242192,NA,NA,NA,-0.218663345265217,0.237960006962826,NA,-0.208341116248859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227427282018419,NA,NA,NA,NA,NA,NA,NA
"R10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.231412638933195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R11",0.23073266642487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.216415469713484,NA,0.601043656582205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274527695870997,0.402052964602155,0.274527695870997,NA,-0.254222650466535,NA,NA,NA,0.458369770349309,NA,NA,NA,NA,NA,NA
"R12",0.409997548274053,NA,NA,NA,NA,NA,NA,0.32178780351157,NA,NA,0.454866666026862,0.494178221077434,0.444745786463805,0.564195550928247,NA,NA,0.253942339575498,-0.253942339575498,NA,NA,NA,0.257135024943378,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311099415966938,NA,NA,-0.225690231053067,NA,NA,NA,NA,NA,NA,-0.303231178508566,-0.348897654659334,-0.37230628879069,-0.282812851073532,NA,-0.251532066082389,NA,0.415744978063337,-0.401408685768787,-0.249143370612157,NA,NA,NA,NA,NA,0.463532354322285,NA,NA,NA,NA,-0.385987344719166,-0.234602337186307,NA,-0.398152293680925,NA,NA,0.265219528262739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519609645480469,NA,-0.509492276548625,NA,NA,NA,NA,NA,NA,NA
"R2",NA,NA,NA,NA,NA,NA,NA,NA,0.287709232915063,NA,NA,NA,NA,NA,NA,NA,-0.330007694126801,0.330007694126801,0.306869664886927,NA,NA,-0.32547373070519,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226335516707833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.297384581176183,NA,NA,NA,NA,NA,NA,0.209103519595922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
